text,attitudes,comments,reposts
环保你我共行[加油]@京环之声 @北京市环保局总量处 @北京首席环保行政打假人 @北京环保 @香蕉皮环保科技北京有限公司 @北京东城环保 北京地铁环保手绘大赛超话为北京环保卫士点赞超话#垃圾分类##插画#为北京环保卫士点赞超话,0,1,0
#垃圾分类# 【城市生活垃圾处理那点儿事儿】近日，“垃圾分类处理”霸屏各大新闻头条，相关字眼占据热搜榜单第一。4月16日，西安市政府第86次常务会议审议通过《西安市生活垃圾分类管理办法》，将于今年9月1日起施行——垃圾分类有规可依，这意味着我市“全民分类时代”即将到来。（西安日报）详细情况 ...全文,0,0,0
除了#垃圾分类# ，还有更深层的灵魂【七问】...你的灵魂受到深深的拷问了吗？1.配钥匙师傅：你配吗？2.算命先生：你算什么东西？3.食堂阿姨：你要饭吗？4.快递小哥：你什么东西？5. 滴滴司机：你搞清楚自己的定位没有？6.上海垃圾分拣阿姨：你是什么垃圾？7.矫正医生：你（的牙）什么毛病？（ ...全文,0,0,0
太可怕了！看了这个，你还嫌垃圾分类麻烦吗？#垃圾分类 # 捍卫者的微博视频,4,0,2
#垃圾分类# 【为什么中国这么急着垃圾分类？】,1,1,1
#垃圾分类# 【南海街坊因乱扔垃圾，被居委会罚款300元】南海的何先生因将卖水果剩下的龙眼枝叶倒在某垃圾池内，而被居委会抓住罚款3000元，还要写检讨。原因竟是龙眼枝叶属于禁止在该垃圾池倾倒的工业垃圾中的食品垃圾，而何先生却误认为不属于禁止倾倒的垃圾类型。居委会就表示，目 ...全文,0,0,0
晚上做梦梦见垃圾分类分错了，去丢垃圾时候被老阿姨抓住，用注射器扎我，作为惩罚......一大早被活活吓醒。求垃圾分类这一个多月来给我造成的心理阴影面积#垃圾分类挑战##垃圾分类#,8,1,0
发布了头条文章：《环卫工|职场环卫工也是个人物》 #垃圾分类# #环卫工# @头条文章 环卫工|职场环卫工也是个人物,1,0,0
#垃圾分类##瓶盖挑战#特异功能打卡，@William威廉陈伟霆 向陈等等同学发起挑战，不服来战啊 我是小叶跑儿的微博视频,3,0,0
#垃圾分类#师傅果然是师傅，悟空始终是弟弟 深圳·华强商业圈 魏宇同学的微博视频,2,2,0
